Country,Deaths,Biweekly Deaths,Increase Biweekly,GBI,Slope Increase,Slope Growth,Removed,Biweekly Growth,Reproductive Factor,Daily Deaths,Confirmed
Afghanistan,60,17,7,7,0.4118,0.4118,3000,1.3953,1.7,2,4186.0
Albania,30,3,2,3,0.6667,1.0,1500,1.1111,1.5,0,1667.0
Algeria,444,29,-11,-2,-0.3793,-0.069,22200,1.0699,0.3625,7,23752.0
Andorra,42,2,-2,-1,-1.0,-0.5,2100,1.05,0.2857,1,2205.0
Angola,2,0,0,0,,,100,1.0,,0,100.0
Antigua and Barbuda,3,0,0,1,,inf,150,1.0,,0,150.0
Argentina,214,38,-6,-20,-0.1579,-0.5263,10700,1.2159,1.3103,7,13010.0
Armenia,30,3,-4,-7,-1.3333,-2.3333,1500,1.1111,0.6,0,1667.0
Australia,91,12,0,-7,0.0,-0.5833,4550,1.1519,1.3333,2,5241.0
Austria,580,50,-28,-38,-0.56,-0.76,29000,1.0943,0.6757,11,31735.0
Azerbaijan,23,2,0,4,0.0,2.0,1150,1.0952,0.6667,1,1259.0
Bahamas,11,0,-2,-3,-inf,-inf,550,1.0,,0,550.0
Bahrain,8,0,-1,-2,-inf,-inf,400,1.0,0.0,0,400.0
Bangladesh,163,32,-8,-3,-0.25,-0.0938,8150,1.2443,1.3913,8,10141.0
Barbados,7,1,0,0,0.0,0.0,350,1.1667,1.0,1,408.0
Belarus,84,21,5,3,0.2381,0.1429,4200,1.3333,1.2353,5,5600.0
Belgium,7501,822,-174,356,-0.2117,0.4331,375050,1.1231,0.5785,170,421219.0
Belize,2,0,0,0,,,100,1.0,,0,100.0
Benin,1,0,0,0,,,50,1.0,,0,50.0
Bhutan,0,0,0,0,,,0,,,0,
Bolivia,59,15,3,-5,0.2,-0.3333,2950,1.3409,1.6667,6,3956.0
Bosnia and Herzegovina,65,10,3,4,0.3,0.4,3250,1.1818,2.0,2,3841.0
Botswana,1,0,0,0,,,50,1.0,,0,50.0
Brazil,5513,1809,567,255,0.3134,0.141,275650,1.4884,2.6642,430,410277.0
Brunei,1,0,0,0,,,50,1.0,,0,50.0
Bulgaria,64,10,-2,-7,-0.2,-0.7,3200,1.1852,0.9091,6,3793.0
Burkina Faso,43,2,-3,-2,-1.5,-1.0,2150,1.0488,0.25,1,2255.0
Burma,6,1,1,2,1.0,2.0,300,1.2,1.0,1,360.0
Burundi,1,0,0,0,,,50,1.0,0.0,0,50.0
Cabo Verde,1,0,0,0,,,50,1.0,,0,50.0
Cambodia,0,0,0,0,,,0,,,0,
Cameroon,61,18,17,44,0.9444,2.4444,3050,1.4186,3.6,3,4327.0
Canada,3155,753,-84,-257,-0.1116,-0.3413,157750,1.3135,1.6696,172,207205.0
Central African Republic,0,0,0,0,,,0,,,0,
Chad,2,2,2,2,1.0,1.0,100,inf,inf,0,inf
Chile,216,42,1,1,0.0238,0.0238,10800,1.2414,1.4483,9,13407.0
China,4637,1,1,1292,1.0,1292.0,231850,1.0002,0.1667,0,231896.0
Colombia,278,53,7,13,0.1321,0.2453,13900,1.2356,1.0392,9,17175.0
Congo (Brazzaville),8,2,2,3,1.0,1.5,400,1.3333,inf,0,533.0
Congo (Kinshasa),30,5,5,10,1.0,2.0,1500,1.2,5.0,0,1800.0
Costa Rica,6,0,-1,0,-inf,,300,1.0,0.0,0,300.0
Cote d'Ivoire,14,0,-5,-7,-inf,-inf,700,1.0,0.0,0,700.0
Croatia,67,16,12,24,0.75,1.5,3350,1.3137,1.3333,4,4401.0
Cuba,58,9,-6,-8,-0.6667,-0.8889,2900,1.1837,1.0,0,3433.0
Cyprus,15,1,-1,-3,-1.0,-3.0,750,1.0714,0.5,0,804.0
Czechia,227,13,-15,-18,-1.1538,-1.3846,11350,1.0607,0.2766,0,12039.0
Denmark,443,40,-8,0,-0.2,0.0,22150,1.0993,0.6452,9,24349.0
Diamond Princess,13,0,0,1,,inf,650,1.0,0.0,0,650.0
Djibouti,2,0,0,0,,,100,1.0,0.0,0,100.0
Dominica,0,0,0,0,,,0,,,0,
Dominican Republic,293,26,-15,-13,-0.5769,-0.5,14650,1.0974,0.4127,7,16077.0
Ecuador,883,307,205,208,0.6678,0.6775,44150,1.533,3.3736,12,67682.0
Egypt,380,86,31,37,0.3605,0.4302,19000,1.2925,1.7917,21,24558.0
El Salvador,9,1,0,0,0.0,0.0,450,1.125,inf,1,506.0
Equatorial Guinea,1,0,-1,-2,-inf,-inf,50,1.0,,0,50.0
Eritrea,0,0,0,0,,,0,,,0,
Estonia,50,4,-2,1,-0.5,0.25,2500,1.087,0.3636,0,2718.0
Eswatini,1,0,0,1,,inf,50,1.0,,0,50.0
Ethiopia,3,0,0,0,,,150,1.0,,0,150.0
Fiji,0,0,0,0,,,0,,,0,
Finland,206,29,-54,-107,-1.8621,-3.6897,10300,1.1638,1.2083,7,11987.0
France,24121,1842,-693,768,-0.3762,0.4169,1206050,1.0827,0.4636,427,1305790.0
Gabon,3,0,-2,-4,-inf,-inf,150,1.0,,0,150.0
Gambia,1,0,0,0,,,50,1.0,,0,50.0
Georgia,6,1,0,0,0.0,0.0,300,1.2,inf,0,360.0
Germany,6467,707,-467,-349,-0.6605,-0.4936,323350,1.1227,0.6818,153,363025.0
Ghana,16,6,5,5,0.8333,0.8333,800,1.6,3.0,0,1280.0
Greece,139,9,-8,-13,-0.8889,-1.4444,6950,1.0692,0.9,1,7431.0
Grenada,0,0,0,0,,,0,,,0,
Guatemala,16,5,1,-1,0.2,-0.2,800,1.4545,2.5,1,1164.0
Guinea,7,1,0,4,0.0,4.0,350,1.1667,1.0,0,408.0
Guinea-Bissau,1,1,1,1,1.0,1.0,50,inf,inf,0,inf
Guyana,8,1,1,2,1.0,2.0,400,1.1429,inf,0,457.0
Haiti,6,1,-1,-3,-1.0,-3.0,300,1.2,1.0,0,360.0
Holy See,0,0,0,0,,,0,,,0,
Honduras,66,11,2,13,0.1818,1.1818,3300,1.2,1.375,2,3960.0
Hungary,300,38,-35,-41,-0.9211,-1.0789,15000,1.145,0.6667,9,17175.0
Iceland,10,0,-1,-1,-inf,-inf,500,1.0,0.0,0,500.0
India,1079,299,78,23,0.2609,0.0769,53950,1.3833,1.8805,71,74629.0
Indonesia,784,95,-12,4,-0.1263,0.0421,39200,1.1379,0.5828,11,44606.0
Iran,5957,383,-73,-94,-0.1906,-0.2454,297850,1.0687,0.7028,80,318312.0
Iraq,92,6,2,2,0.3333,0.3333,4600,1.0698,0.6667,2,4921.0
Ireland,1190,176,-228,-428,-1.2955,-2.4318,59500,1.1736,1.121,31,69829.0
Israel,215,21,-1,26,-0.0476,1.2381,10750,1.1082,0.6,5,11913.0
Italy,27682,1713,-596,-312,-0.3479,-0.1821,1384100,1.066,0.6127,323,1475451.0
Jamaica,7,0,-2,-3,-inf,-inf,350,1.0,0.0,0,350.0
Japan,413,68,-41,-57,-0.6029,-0.8382,20650,1.1971,1.4468,19,24720.0
Jordan,8,1,1,1,1.0,1.0,400,1.1429,inf,0,457.0
Kazakhstan,25,0,-8,-13,-inf,-inf,1250,1.0,0.0,0,1250.0
Kenya,15,1,1,6,1.0,6.0,750,1.0714,0.3333,1,804.0
"Korea, South",247,7,1,7,0.1429,1.0,12350,1.0292,0.4118,1,12711.0
Kosovo,12,0,0,4,,inf,600,1.0,0.0,0,600.0
Kuwait,24,9,1,-3,0.1111,-0.3333,1200,1.6,4.5,1,1920.0
Kyrgyzstan,8,0,-3,-6,-inf,-inf,400,1.0,,0,400.0
Laos,0,0,0,0,,,0,,,0,
Latvia,15,3,-4,-11,-1.3333,-3.6667,750,1.25,1.5,2,938.0
Lebanon,24,2,1,0,0.5,0.0,1200,1.0909,2.0,0,1309.0
Liberia,16,8,8,10,1.0,1.25,800,2.0,8.0,0,1600.0
Libya,2,0,-1,-2,-inf,-inf,100,1.0,,0,100.0
Liechtenstein,1,0,0,0,,,50,1.0,,0,50.0
Lithuania,45,5,0,1,0.0,0.2,2250,1.125,0.625,1,2531.0
Luxembourg,89,4,-8,-14,-2.0,-3.5,4450,1.0471,0.2667,0,4660.0
MS Zaandam,2,0,0,0,,,100,1.0,,0,100.0
Madagascar,0,0,0,0,,,0,,,0,
Malawi,3,0,-1,-2,-inf,-inf,150,1.0,0.0,0,150.0
Malaysia,100,4,-3,-3,-0.75,-0.75,5000,1.0417,0.3077,0,5208.0
Maldives,1,1,1,1,1.0,1.0,50,inf,inf,1,inf
Mali,25,4,-3,-9,-0.75,-2.25,1250,1.1905,0.6667,1,1488.0
Malta,4,1,1,1,1.0,1.0,200,1.3333,1.0,0,267.0
Mauritania,1,0,0,0,,,50,1.0,,0,50.0
Mauritius,10,1,1,1,1.0,1.0,500,1.1111,inf,0,556.0
Mexico,1732,511,-24,-279,-0.047,-0.546,86600,1.4185,2.3657,163,122842.0
Moldova,111,27,10,20,0.3704,0.7407,5550,1.3214,1.5882,8,7334.0
Monaco,4,0,-1,0,-inf,,200,1.0,0.0,0,200.0
Mongolia,0,0,0,0,,,0,,,0,
Montenegro,7,1,0,0,0.0,0.0,350,1.1667,0.5,0,408.0
Morocco,168,10,-7,-9,-0.7,-0.9,8400,1.0633,0.5,3,8932.0
Mozambique,0,0,0,0,,,0,,,0,
Namibia,0,0,0,0,,,0,,,0,
Nepal,0,0,0,0,,,0,,,0,
Netherlands,4727,423,-184,-49,-0.435,-0.1158,236350,1.0983,0.6768,145,259583.0
New Zealand,19,1,-5,-8,-5.0,-8.0,950,1.0556,0.1429,0,1003.0
Nicaragua,3,0,-1,-1,-inf,-inf,150,1.0,,0,150.0
Niger,32,8,4,6,0.5,0.75,1600,1.3333,2.6667,1,2133.0
Nigeria,51,19,8,7,0.4211,0.3684,2550,1.5938,3.8,7,4064.0
North Macedonia,73,16,10,11,0.625,0.6875,3650,1.2807,1.2308,2,4675.0
Norway,207,8,-26,-34,-3.25,-4.25,10350,1.0402,0.2162,1,10766.0
Oman,10,0,-3,-3,-inf,-inf,500,1.0,0.0,0,500.0
Pakistan,343,90,5,-8,0.0556,-0.0889,17150,1.3557,2.0,31,23250.0
Panama,178,24,-10,-18,-0.4167,-0.75,8900,1.1558,0.8276,11,10287.0
Papua New Guinea,0,0,0,0,,,0,,,0,
Paraguay,9,0,-1,-1,-inf,-inf,450,1.0,0.0,0,450.0
Peru,943,309,75,11,0.2427,0.0356,47150,1.4874,3.6353,89,70131.0
Philippines,558,81,13,19,0.1605,0.2346,27900,1.1698,0.6328,28,32637.0
Poland,624,130,-4,-41,-0.0308,-0.3154,31200,1.2632,1.2381,28,39412.0
Portugal,973,119,-21,-14,-0.1765,-0.1176,48650,1.1393,0.7256,25,55427.0
Qatar,10,0,-2,-3,-inf,-inf,500,1.0,0.0,0,500.0
Romania,693,126,10,-6,0.0794,-0.0476,34650,1.2222,1.2353,30,42349.0
Russia,972,357,103,40,0.2885,0.112,48600,1.5805,3.4327,105,76812.0
Rwanda,0,0,0,0,,,0,,,0,
Saint Kitts and Nevis,0,0,0,0,,,0,,,0,
Saint Lucia,0,0,0,0,,,0,,,0,
Saint Vincent and the Grenadines,0,0,0,0,,,0,,,0,
San Marino,41,1,0,2,0.0,2.0,2050,1.025,0.5,0,2101.0
Sao Tome and Principe,0,0,0,0,,,0,,,0,
Saudi Arabia,157,30,0,-6,0.0,-0.2,7850,1.2362,0.9375,5,9704.0
Senegal,9,2,-2,-5,-1.0,-2.5,450,1.2857,inf,0,579.0
Serbia,125,0,-3,22,-inf,inf,6250,1.0,0.0,0,6250.0
Seychelles,0,0,0,0,,,0,,,0,
Sierra Leone,4,2,0,-2,0.0,-1.0,200,2.0,inf,0,400.0
Singapore,14,2,1,1,0.5,0.5,700,1.1667,0.6667,0,817.0
Slovakia,22,5,0,5,0.0,1.0,1100,1.2941,1.25,2,1424.0
Slovenia,89,9,3,15,0.3333,1.6667,4450,1.1125,0.5625,3,4951.0
Somalia,28,12,3,-1,0.25,-0.0833,1400,1.75,3.0,0,2450.0
South Africa,103,24,-1,1,-0.0417,0.0417,5150,1.3038,2.4,10,6715.0
South Sudan,0,0,0,0,,,0,,,0,
Spain,24275,1751,-320,6,-0.1828,0.0034,1213750,1.0777,0.6665,453,1308058.0
Sri Lanka,7,0,0,0,,,350,1.0,,0,350.0
Sudan,28,12,6,5,0.5,0.4167,1400,1.75,4.0,3,2450.0
Suriname,1,0,0,0,,,50,1.0,,0,50.0
Sweden,2462,310,-302,-407,-0.9742,-1.3129,123100,1.1441,0.9309,107,140839.0
Switzerland,1716,127,-69,-46,-0.5433,-0.3622,85800,1.0799,0.5359,17,92655.0
Syria,3,0,0,1,,inf,150,1.0,,0,150.0
Taiwan*,6,0,0,0,,,300,1.0,,0,300.0
Tanzania,16,6,3,4,0.5,0.6667,800,1.6,6.0,6,1280.0
Thailand,54,3,-1,1,-0.3333,0.3333,2700,1.0588,0.3,0,2859.0
Timor-Leste,0,0,0,0,,,0,,,0,
Togo,7,1,0,1,0.0,1.0,350,1.1667,inf,1,408.0
Trinidad and Tobago,8,0,0,0,,,400,1.0,,0,400.0
Tunisia,40,2,2,6,1.0,3.0,2000,1.0526,0.2,0,2105.0
Turkey,3081,481,-102,-71,-0.2121,-0.1476,154050,1.185,0.9395,89,182549.0
US,60967,9474,-1074,-939,-0.1134,-0.0991,3048350,1.184,0.9109,2612,3609246.0
Uganda,0,0,0,0,,,0,,,0,
Ukraine,250,49,-11,-28,-0.2245,-0.5714,12500,1.2438,1.2564,11,15548.0
United Arab Emirates,98,34,11,1,0.3235,0.0294,4900,1.5312,2.0,9,7503.0
United Kingdom,26166,6599,3127,3621,0.4739,0.5487,1308300,1.3373,1.6834,4421,1749590.0
Uruguay,15,3,1,1,0.3333,0.3333,750,1.25,3.0,0,938.0
Uzbekistan,9,1,-2,-4,-2.0,-4.0,450,1.125,1.0,1,506.0
Venezuela,10,0,-1,-2,-inf,-inf,500,1.0,,0,500.0
Vietnam,0,0,0,0,,,0,,,0,
West Bank and Gaza,2,-2,-3,-3,1.5,1.5,100,0.5,-inf,0,50.0
Western Sahara,0,0,0,0,,,0,,,0,
Yemen,0,0,0,0,,,0,,,0,
Zambia,3,0,0,1,,inf,150,1.0,,0,150.0
Zimbabwe,4,0,-1,-2,-inf,-inf,200,1.0,,0,200.0
World,227638,30920,-433,3089,-0.014,0.0999,11381900,1.1572,0.9567,10485,13171135.0
